Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2
ComPACT_G356.12754.907,220.33333,3.81667,47,0.9031893610954284,SZ_G356.22+54.89,,
ComPACT_G250.94047.011,160.33333,-2.3,23,0.9500539898872375,SZ_G250.91+46.94,,
ComPACT_G283.69263.387,184.36667,1.79167,60,0.9363074898719788,SZ_G283.79+63.45,,
ComPACT_G294.76258.249,188.55833,-4.35,30,0.978930115699768,SZ_G294.89+58.26,,
ComPACT_G295.02858.266,188.7,-4.35,22,0.9609268307685852,SZ_G294.89+58.26,,
ComPACT_G1.749-42.473,316.93333,-40.375,23,0.920754075050354,SZ_G001.72-42.51,,
ComPACT_G18.58951.494,231.05,12.68333,21,0.9242485165596008,SZ_G018.66+51.55,,
ComPACT_G235.17643.409,150.48333,3.93333,26,0.9653865694999696,SZ_G235.20+43.38,,
ComPACT_G269.045-65.721,32.13333,-46.00833,23,0.906192421913147,SZ_G268.93-65.74,,
ComPACT_G101.520-61.210,2.73333,-0.03333,26,0.8720237612724304,SZ_G101.66-61.21,,
ComPACT_G161.964-32.936,46.94167,19.40833,33,0.991319477558136,SZ_G161.96-32.93,,
ComPACT_G204.027-15.954,84.65,0.40833,46,0.925534725189209,SZ_G204.08-15.97,,
ComPACT_G177.756-53.493,42.01667,-3.525,64,0.9991220831871032,SZ_G177.74-53.52,ACT-CL J0248.0-0331,
ComPACT_G0.004-27.114,296.76667,-39.675,48,0.998390793800354,SZ_G000.00-27.13,,
ComPACT_G76.940-80.244,5.4,-20.15833,35,0.9702976942062378,SZ_G076.55-80.28,,
ComPACT_G87.303-45.715,348.44167,10.29167,59,0.9753296971321106,SZ_G087.22-45.69,,
ComPACT_G310.79575.020,194.93333,12.275,27,0.9631041288375854,SZ_G310.88+75.00,,
ComPACT_G24.37252.684,231.53333,16.4,50,0.9863858222961426,SZ_G024.42+52.68,,
ComPACT_G261.617-40.871,69.925,-53.5,37,0.9930728077888488,SZ_G261.65-40.89,ACT-CL J0439.7-5330,
ComPACT_G173.189-75.110,24.79167,-17.125,27,0.9671698212623596,SZ_G173.18-75.04,,
ComPACT_G316.67266.070,198.4,3.79167,34,0.8442792296409607,SZ_G316.56+66.05,,
ComPACT_G247.71361.758,169.66667,9.29167,36,0.9843997955322266,SZ_G247.61+61.76,,
ComPACT_G208.098-38.269,66.24167,-12.91667,27,0.9610633850097656,SZ_G208.02-38.30,,
ComPACT_G179.312-42.774,50.6,2.98333,26,0.9717556834220886,SZ_G179.31-42.81,,
ComPACT_G353.818-59.960,341.05833,-42.51667,28,0.9563982486724854,SZ_G353.73-59.96,,
ComPACT_G235.532-17.410,96.44167,-27.56667,41,0.9956027269363404,SZ_G235.48-17.47,,
ComPACT_G20.12253.717,229.45,14.525,52,0.9713836908340454,SZ_G020.12+53.79,,
ComPACT_G195.011-41.813,58.31667,-5.73333,37,0.9683890342712402,SZ_G195.03-41.74,,
ComPACT_G307.34278.457,193.775,15.61667,63,0.9998558759689332,SZ_G307.51+78.44,ACT-CL J1255.0+1536,
ComPACT_G310.219-61.762,6.85,-55.025,21,0.856357991695404,SZ_G310.29-61.78,,
ComPACT_G120.567-62.477,11.76667,0.375,41,0.967365562915802,SZ_G120.47-62.51,,
ComPACT_G333.66178.624,198.91667,17.225,54,0.8987464308738708,SZ_G333.89+78.61,,
ComPACT_G220.90741.513,143.53333,12.10833,22,0.8706743717193604,SZ_G220.91+41.59,,
ComPACT_G110.920-71.539,9.03333,-9.025,21,0.9674709439277648,SZ_G110.88-71.46,,
ComPACT_G63.145-42.842,333.53333,1.05,27,0.9666001796722412,SZ_G063.22-42.81,,
ComPACT_G184.738-60.430,39.15,-10.9,29,0.9894264936447144,SZ_G184.88-60.41,,
ComPACT_G241.60951.024,159.225,4.925,37,0.8910859227180481,SZ_G241.52+51.04,,
ComPACT_G212.485-33.225,72.46667,-14.125,42,0.955485463142395,SZ_G212.39-33.22,,
