Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2,Priority
ComPACT_G63.904-16.730,313.21667,17.9,74,0.9994834661483764,SZ_G063.92-16.76,,PSZ2 G063.91-16.75,1
ComPACT_G198.547-84.283,19.0,-25.575,27,0.991962730884552,SZ_G198.90-84.29,,,2
ComPACT_G7.98844.359,233.33333,2.89167,25,0.9394604563713074,SZ_G007.97+44.33,,,3
ComPACT_G147.125-60.848,24.375,-0.15833,45,0.9983137845993042,SZ_G147.13-60.88,ACT-CL J0137.4-0009,,1
ComPACT_G179.518-43.940,49.83333,2.09167,64,0.9992074370384216,SZ_G179.47-43.95,ACT-CL J0319.3+0205,PSZ2 G179.45-43.92,1
ComPACT_G254.082-58.460,46.075,-44.025,92,0.9997939467430116,SZ_G254.11-58.49,ACT-CL J0304.2-4401,PSZ2 G254.08-58.45,1
ComPACT_G99.079-46.898,356.39167,12.9,50,0.9544019103050232,SZ_G099.10-46.87,,,1
ComPACT_G30.72725.723,258.79167,9.61667,21,0.9680696129798888,SZ_G030.72+25.76,,,3
ComPACT_G2.50547.372,228.60833,1.73333,34,0.9980745315551758,SZ_G002.49+47.41,,,1
ComPACT_G356.677-46.985,323.175,-43.825,48,0.9985460042953492,SZ_G356.65-47.01,ACT-CL J2132.7-4349,,1
ComPACT_G117.810-47.788,9.3,14.94167,38,0.8723341822624207,SZ_G117.80-47.82,,,1
ComPACT_G147.291-49.375,28.70833,10.475,33,0.965321719646454,SZ_G147.28-49.41,,,1
ComPACT_G349.10867.617,209.1,10.775,62,0.9996764659881592,SZ_G349.06+67.59,ACT-CL J1356.3+1046,PSZ2 G349.12+67.62,1
ComPACT_G285.87677.866,189.19167,15.48333,21,0.9312505125999452,SZ_G285.71+77.87,,,3
ComPACT_G138.420-57.953,21.025,3.93333,29,0.9717780947685242,SZ_G138.48-57.97,,,2
ComPACT_G224.440-46.613,61.9,-26.95833,63,0.9987642765045166,SZ_G224.49-46.62,ACT-CL J0407.5-2657,,1
ComPACT_G116.970-53.539,9.275,9.16667,60,0.9992928504943848,SZ_G116.95-53.57,ACT-CL J0037.1+0909,PSZ2 G116.95-53.55,1
ComPACT_G199.390-17.568,81.075,3.5,49,0.996735155582428,SZ_G199.38-17.60,,,1
ComPACT_G240.658-60.399,46.025,-36.94167,68,0.999305248260498,SZ_G240.64-60.43,ACT-CL J0304.0-3656,PSZ2 G240.61-60.40,1
ComPACT_G10.322-24.698,297.08333,-30.09167,36,0.993636965751648,SZ_G010.31-24.67,,,1
ComPACT_G19.71538.534,242.99167,7.175,40,0.99708753824234,SZ_G019.69+38.56,ACT-CL J1611.9+0710,,1
ComPACT_G190.688-38.253,59.49167,-1.01667,24,0.9502971172332764,SZ_G190.72-38.23,,,3
ComPACT_G22.08258.856,225.075,17.675,41,0.9964022636413574,SZ_G022.15+58.85,ACT-CL J1500.2+1740,,1
ComPACT_G231.67754.689,158.84167,11.93333,33,0.8503921031951904,SZ_G231.68+54.65,ACT-CL J1035.3+1155,,1
ComPACT_G159.033-43.852,38.575,11.69167,22,0.9646187424659728,SZ_G159.00-43.88,,,3
ComPACT_G76.807-40.938,339.33333,9.625,25,0.901097059249878,SZ_G076.84-40.97,,,3
ComPACT_G281.70063.696,183.61667,2.35833,21,0.9123327732086182,SZ_G281.72+63.73,,,3
ComPACT_G181.296-27.607,63.25,11.675,30,0.9202407002449036,SZ_G181.27-27.64,,,2
ComPACT_G261.616-40.866,69.93333,-53.5,37,0.9930728077888488,SZ_G261.65-40.89,ACT-CL J0439.7-5330,,1
ComPACT_G216.744-41.825,65.34167,-20.375,66,0.9996594190597534,SZ_G216.75-41.86,ACT-CL J0421.3-2022,PSZ2 G216.76-41.84,1
ComPACT_G241.29036.149,147.425,-4.15,39,0.9859721660614014,SZ_G241.26+36.12,,,1
ComPACT_G359.836-23.218,291.86667,-38.78333,43,0.995158851146698,SZ_G359.80-23.24,,,1
ComPACT_G244.737-25.376,90.78333,-38.25833,39,0.982842981815338,SZ_G244.78-25.39,ACT-CL J0603.0-3815,,1
ComPACT_G166.778-85.669,16.14167,-23.96667,24,0.9151009917259216,SZ_G166.84-85.70,,,3
ComPACT_G265.097-59.501,40.91667,-48.55833,73,0.9993823766708374,SZ_G265.12-59.54,ACT-CL J0243.5-4833,PSZ2 G265.10-59.50,1
ComPACT_G341.954-24.079,286.80833,-54.81667,48,0.864490807056427,SZ_G341.92-24.09,,,1
ComPACT_G237.49755.351,161.24167,9.48333,31,0.9645196795463562,SZ_G237.56+55.35,,,1
ComPACT_G122.063-53.927,12.34167,8.94167,22,0.933548867702484,SZ_G122.10-53.96,,,3
ComPACT_G94.053-82.227,8.86667,-20.26667,64,0.9999805688858032,SZ_G093.85-82.25,ACT-CL J0035.4-2015,PSZ2 G093.93-82.22,1
ComPACT_G59.789-39.128,329.05,1.38333,57,0.9982417821884156,SZ_G059.83-39.11,ACT-CL J2156.1+0123,PSZ2 G059.81-39.09,1
ComPACT_G179.114-47.145,47.26667,0.15,31,0.9395785331726074,SZ_G179.09-47.11,,,1
ComPACT_G35.265-32.100,312.85833,-12.21667,34,0.980040431022644,SZ_G035.24-32.07,,,1
ComPACT_G275.52969.775,183.59167,8.9,46,0.9847713112831116,SZ_G275.46+69.75,,,1
ComPACT_G17.29551.150,230.96667,11.80833,29,0.8835903406143188,SZ_G017.24+51.16,,,2
