name,RA,DEC,pmax,S,Priority,z,zType,zSource,zCluster,zCluster_err,zCluster_delta,zZazn,zZazn_err,zZazn_sig1,zZazn_sig2,M500,e_M500,E_M500,mSource,Mact,e_Mact,E_Mact,Mplanck,e_Mplanck,E_Mplanck
ComPACT_G143.988-52.153,25.74167,8.6,0.9802408218383788,21,3,,,,0.34,0.1335978248612508,0.8496695606707052,,,,,,,,,,,,,,
ComPACT_G279.679+70.223,185.09167,8.76667,0.9968991279602052,38,1,0.253,spec,ACTDR5,0.24,0.1236278379313067,6.79798173764422,,,,,4.190465082706478,0.922476927485528,0.7560436528567674,ACTDR6,4.083044520705927,0.9146278722137468,0.7882712073520662,,,
ComPACT_G53.926-45.110,331.4,-5.625,0.9340193271636964,48,1,0.058,spec,MCXC2,0.6,0.1595197908791054,4.179028906293843,,,,,1.7799999713897705,0.270000010728836,0.270000010728836,PSZ2,,,,1.4601315010878857,0.2918097677863481,0.2515134956490028
ComPACT_G40.794-29.586,312.675,-6.85,0.9778438210487366,21,3,,,,0.54,0.1535377987211389,0.6482852225228708,,,,,,,,,,,,,,
ComPACT_G317.610-83.892,11.01667,-33.025,0.9371362328529358,22,3,0.32,phot,zaznobin,0.31,0.1306068287822676,1.7715503891677034,0.32,0.0426117669852001,0.986,0.984,,,,,,,,,,
ComPACT_G254.187+73.529,180.06667,15.71667,0.910526692867279,38,1,,,,0.18,0.1176458457733402,0.3149881340776246,,,,,,,,,,,,,,
ComPACT_G30.884-43.680,322.69167,-19.75,0.9647262096405028,28,2,,,,,,,,,,,,,,,,,,,,
ComPACT_G47.404-43.535,327.6,-8.79167,0.9901306629180908,28,2,0.395,spec,ACTDR5,0.39,0.1385828183262228,28.47739646240141,0.4026,0.0452782305859406,1.0,0.998,7.217484146096122,1.4440288105338135,1.2032834331277138,ACTDR6,6.988558668231774,1.1557845237525288,1.034935404482315,6.340644155865489,1.1200680201178888,0.9815001516789712
ComPACT_G176.949-31.497,57.71667,11.98333,0.9881417155265808,25,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G195.026-41.811,58.325,-5.74167,0.9683890342712402,37,1,0.5688,phot,zaznobin,0.15,0.114654849694357,0.4269509392584574,0.5688,0.0506434394290772,0.981,0.942,,,,,,,,,,
ComPACT_G182.097-60.102,38.59167,-9.66667,0.9996283054351808,61,1,0.873,phot,ACTDR6,0.79,0.1784627660459992,6.271338246078355,0.7678,0.0570674861185127,1.0,0.855,7.292665413176151,1.232308708112555,1.0541750586158338,ACTDR6,3.169349107820864,3.5510765869937924,2.571544374276948,,,
ComPACT_G248.377+49.218,160.70833,0.46667,0.8892132043838501,21,3,0.307,spec,MaDCoWS_II,0.16,0.1156518483873514,0.1835361633009995,,,,,4.211439907956192,0.9546790337966587,0.8073735670341782,yplanck,,,,4.211439907956192,0.9546790337966587,0.8073735670341782
ComPACT_G200.363-26.210,74.025,-1.58333,0.9826646447181702,24,3,0.235,phot,ACT-MCMF,0.21,0.1206368418523234,3.715406548099552,0.2369,0.0399291625636318,0.997,0.949,5.690828758609345,1.3688490081742763,1.1034335502626262,ACTDR6,2.3560326177694693,1.7498725219632094,1.0950555333482812,2.280411083924254,2.1559986569833085,1.0732590808204017
ComPACT_G354.514-32.298,302.475,-45.325,0.9747843146324158,31,1,0.101,spec,ACTDR6,0.68,0.1674957804230607,1.9178333011540645,,,,,3.7545462261036135,1.2018899363025912,0.910442740847508,ACTDR6,1.651562710652365,0.5756965997008902,0.458986605392719,1.4835479276219643,0.4947225251360931,0.3883772764897162
ComPACT_G248.638-15.829,103.83333,-38.61667,0.992660105228424,26,2,,,,,,,,,,,,,,,,,,,,
ComPACT_G7.007+57.729,222.06667,10.24167,0.9664987325668336,122,1,,,,0.53,0.1525408000281445,1.139472207997723,,,,,,,,,,,,,,
ComPACT_G185.203-60.010,39.63333,-10.83333,0.8513405323028564,25,3,,,,0.22,0.1216338405453179,0.4004257348297773,,,,,,,,,,,,,,
ComPACT_G187.238-50.360,48.175,-6.025,0.997453510761261,46,1,0.457,spec,ACTDR6,0.47,0.1465588078701781,11.7490978103805,0.4581,0.0470698616978184,1.0,0.988,7.192596354648156,1.40334471229818,1.174239328001395,ACTDR6,4.460858825723623,2.157298901422057,1.584195672042942,5.778056612270075,1.4483398824928737,1.2044040380769865
ComPACT_G154.324-38.788,38.10833,17.85,0.9010770916938782,32,1,,,,0.22,0.1216338405453179,0.3720020758933346,,,,,,,,,,,,,,
ComPACT_G354.203+56.027,218.76667,3.84167,0.9472824931144714,26,2,,,,0.5,0.1495498039491613,1.4588178657214883,,,,,,,,,,,,,,
ComPACT_G352.676-28.174,296.275,-46.24167,0.9959383010864258,51,1,0.22,spec,ACTDR6,,,,,,,,6.191261931146332,1.4047923373398064,1.144994099821187,ACTDR6,3.322888500577617,1.2863296018493022,1.0014337793708632,2.8331253929256013,1.461180690738528,1.0112100016352177
ComPACT_G226.311+48.752,151.89167,11.95,0.9057769775390624,22,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G214.598+46.919,146.85,18.38333,0.9733988046646118,22,3,,,,0.16,0.1156518483873514,0.416662352268303,,,,,,,,,,,,,,
ComPACT_G33.554-48.412,328.08333,-19.55,0.962590217590332,23,3,0.094,spec,MCXC2,,,,,,,,4.079999923706055,0.209999993443489,0.209999993443489,PSZ2,4.86624976804497,0.333168601371428,0.3178026249664725,4.82791073498687,0.4989633988006193,0.4611557085786112
ComPACT_G5.795+45.884,231.18333,2.56667,0.9872213006019592,27,2,0.3074,phot,zaznobin,0.32,0.131603827475262,3.795733797636992,0.3074,0.0422050183003414,0.983,0.976,,,,,,,,,,
ComPACT_G241.582-44.577,65.98333,-38.60833,0.9631500244140624,23,3,,,,0.16,0.1156518483873514,0.5035746092764857,,,,,,,,,,,,,,
ComPACT_G185.542-25.349,67.44167,10.06667,0.9758367538452148,33,1,,,,,,,,,,,,,,,,,,,,
ComPACT_G12.249-24.678,297.7,-28.425,0.9893386960029602,55,1,0.669,phot,ACT-MCMF,,,,,,,,2.88794,0.66806660684505,0.541894413341242,ACT-MCMF,6.767632284462285,1.81236498615725,1.5201012117855812,8.296746332451844,1.3833562267453463,1.2208652586324211
ComPACT_G350.800+57.702,216.25833,3.80833,0.9539154171943665,48,1,0.46,phot,MaDCoWS_II,0.47,0.1465588078701781,1.2986084892914618,,,,,2.7154736638903656,1.8603262462952688,3.04722205482781,yact,2.7154736638903656,3.04722205482781,1.8603262462952688,,,
ComPACT_G347.936-57.903,340.04167,-46.10833,0.972701370716095,30,2,0.932,phot,SPT-MCMF,0.19,0.1186428444663346,0.2021250728264445,,,,,2.5585049719921,0.461835265855211,1.005847091485094,SPT-MCMF,,,,,,
ComPACT_G43.374-64.277,345.85833,-19.925,0.9932193160057068,73,1,,,,,,,,,,,,,,,,,,,,
ComPACT_G207.218-23.507,79.36667,-5.775,0.975526750087738,23,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G237.892+63.426,168.16667,13.875,0.8441008925437927,23,3,,,,0.35,0.1345948235542452,1.4187695127381197,,,,,,,,,,,,,,
ComPACT_G66.381-28.507,324.225,12.325,0.9158858060836792,61,1,,,,0.36,0.1355918222472396,0.9148854003908162,,,,,,,,,,,,,,
ComPACT_G132.141-47.394,19.3,15.01667,0.99273681640625,24,3,0.267,spec,REDMAPPER-DES-SDSS,0.28,0.1276158327032843,3.4353201589152444,0.272,0.0410622481857383,0.997,0.947,4.751904311947496,1.102419599686837,0.8948244969699606,ACTDR6,4.570218041577488,1.0706794941279856,0.9181798777508856,4.20610036193658,0.6841674289869694,0.6055754871124406
ComPACT_G213.390-20.710,84.45,-9.66667,0.9905941486358644,34,1,,,,,,,,,,,,,,,,,,,,
ComPACT_G58.805-46.719,334.675,-3.76667,0.9896931052207948,34,1,0.09,spec,ACT-MCMF,0.12,0.1116638536153738,0.5257984162044058,0.0961,0.0353839074185438,0.999,0.978,5.3960157337420585,1.7965806209060982,1.34782724058755,ACTDR6,4.241992153694671,0.3869312885920937,0.3634903655755188,,,
ComPACT_G270.717+54.986,175.01667,-3.35833,0.8104603290557861,33,1,0.27,phot,MaDCoWS_II,0.15,0.114654849694357,0.2656369673140248,,,,,,,,,,,,,,
ComPACT_G353.362-20.780,286.36667,-43.775,0.956880748271942,21,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G41.694+22.069,266.43333,17.275,0.8738122582435608,61,1,0.4864,phot,zaznobin,0.48,0.1475558065631725,1.883392572889964,0.4864,0.0479834321566677,1.0,0.993,5.041193878547788,2.048002534826857,2.9804263215490376,yact,5.041193878547788,2.9804263215490376,2.048002534826857,,,
ComPACT_G81.942-68.731,358.85833,-10.44167,0.9626451134681702,30,2,0.289,spec,ACTDR6,0.29,0.1286128313962787,7.937937503648376,0.2898,0.0416368614072054,0.998,0.975,4.5937379437111145,1.0540084576430644,0.8573045425174087,ACTDR6,4.575412015903904,3.198952654932325,2.0507120635670457,,,
ComPACT_G174.306-66.928,31.075,-11.64167,0.9850165843963624,30,2,,,,0.77,0.1764687686600104,1.9635041458509093,,,,,,,,,,,,,,
ComPACT_G148.506-42.587,32.20833,16.40833,0.9626103043556212,26,2,0.42,phot,zCluster,0.42,0.141573814405206,9.835929709531674,,,,,1.8339179673528547,2.250496198742748,2.056944501683142,yact,1.8339179673528547,2.056944501683142,2.250496198742748,,,
ComPACT_G18.577+51.490,231.05,12.675,0.9242485165596008,21,3,,,,0.36,0.1355918222472396,2.7030303257755413,,,,,,,,,,,,,,
ComPACT_G15.810+62.102,220.625,16.28333,0.9448291659355164,35,1,0.328,phot,CODEX,0.5800000000000001,0.1575257934931166,0.816737975731054,0.7013,0.0549207569484249,0.997,0.994,,,,,,,,,,
